"record_id","age_group","sex","pet_preference","morning_or_evening_person","food_preference","spent_time_in_nature","interacted_with_clubs","resistance_training_workouts","hours_of_sleep","packaged_snacks_per_day","hours_sitting","servings_vegetable","cardio_exercise","anxious_depressed_or_irritable","fatigue_rating"
2,0,2,1,2,3,1,1,0,7,2,6,3,180,4,3
3,NA,1,4,1,2,0,1,0,8,0,10,0,15,2,3
4,1,2,4,1,3,0,0,0,7,2,7,2,15,3,3
5,0,1,2,2,3,1,1,0,7,0,6,2,300,NA,NA
6,0,1,4,2,2,1,1,5,7,3,8,2,300,3,2
7,1,2,4,1,3,1,1,0,6,0,NA,0,15,3,3
8,0,1,2,2,3,1,1,0,7,0,6,2,300,3,3
9,0,1,1,2,3,1,1,5,7,7,5,2,300,2,2
10,0,1,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
11,0,2,2,2,2,0,0,0,6,0,10,3,120,2,3
12,1,1,3,2,2,0,0,0,6,0,8,0,120,5,3
13,0,1,1,3,3,1,0,0,8,0,6,0,15,3,3
14,0,1,3,2,1,0,0,2,8,2,6,2,120,2,3
15,1,1,2,1,2,1,0,2,5,0,8,3,300,1,1
16,1,1,1,3,1,0,0,0,6,2,9,3,15,4,4
17,1,1,1,1,3,0,0,0,6,0,7,3,15,5,5
18,1,2,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
19,0,1,3,2,2,1,0,3,7,2,10,0,240,3,2
20,0,1,2,1,3,1,0,0,8,3,6,0,300,4,3
21,0,1,4,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA
22,0,2,3,3,4,1,1,4,7,3,10,2,300,3,3
23,1,2,3,1,2,1,0,0,8,2,7,6,30,2,2
24,0,1,1,2,3,1,0,0,8,0,6,3,120,2,3
25,0,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,1,3,1,2,1,0,7,8,0,3,2,300,NA,NA
27,1,2,1,1,2,0,0,0,6,0,10,2,120,3,3
28,0,1,1,2,3,1,1,5,9,2,6,0,240,2,1
29,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,1,1,3,0,1,0,6,0,4,3,15,2,2
31,1,1,1,2,2,0,0,0,7,7,9,3,30,3,3
32,0,1,1,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,3,2,3,1,0,0,7,0,5,3,120,2,2
34,1,1,2,1,3,1,0,3,8,2,4,3,60,2,2
35,1,1,1,1,3,0,1,0,6,4,6,3,15,3,3
36,0,1,2,3,2,0,0,0,7,3,5,2,15,2,3
37,1,2,1,3,3,1,0,2,7,0,4,4,120,3,3
38,1,1,4,1,3,1,0,5,6,2,4,2,180,3,3
39,0,2,2,2,1,0,0,0,6,0,10,2,30,4,4
40,1,1,1,1,2,0,0,3,8,2,6,3,180,2,2
41,NA,1,1,2,2,1,0,3,7,0,3,2,180,3,3
42,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,1,3,2,1,0,0,6,2,6,2,240,2,3
